,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
0,0,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS BUSINESS PRO B460M-C CSM DDR4 LGA 1200 (PN:90MB13S0-M0AAYC),"
					Mayor a 10
				","$130,00 - S/491,40 ",https://cyccomputer.pe/socket-lga-1200-10th/21078-mb-asus-business-pro-b460m-c-csm-ddr4-lga-1200-pn90mb13s0-m0aayc.html
1,1,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS ROG MAXIMUS XII FORMULA DDR4 LGA 1200 (PN:90MB1370-MOAAYO),"
					4
				","$600,00 - S/2.268,00 ",https://cyccomputer.pe/socket-lga-1200-10th/15752-mb-asus-rog-maximus-xii-formula-ddr4-lga-1200-pn90mb1370-moaayo.html
2,2,CyC,MB,LGA1200-10,LGA1200,-,MB GIGABYTE B460M DS3H V2 DDR4 LGA 1200,"
					1
				","$112,00 - S/423,36 ",https://cyccomputer.pe/socket-lga-1200-10th/18760-mb-gigabyte-b460m-ds3h-v2-ddr4-lga-1200.html
3,3,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS ROG MAXIMUS XII HERO (WI-FI) DDR4 LGA 1200 (PN:90MB12R0-MOAAYO),"
					1
				","$460,00 - S/1.738,80 ",https://cyccomputer.pe/socket-lga-1200-10th/15755-mb-asus-rog-maximus-xii-hero-wi-fi-ddr4-lga-1200-pn90mb12r0-moaayo.html
4,4,CyC,MB,LGA1200-10,LGA1200,-,MB GIGABYTE H410M H V3 DDR4 LGA 1200,"
					0
				","$89,50 - S/338,31 ",https://cyccomputer.pe/socket-lga-1200-10th/20947-mb-gigabyte-h410m-h-v3-ddr4-lga-1200-.html
5,5,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS PRIME B460M-A DDR4 LGA 1200 (PN:90MB13E0-M0EAY0),"
					0
				","$116,00 - S/438,48 ",https://cyccomputer.pe/socket-lga-1200-10th/20104-mb-asus-prime-b460m-a-ddr4-lga-1200-pn90mb13e0-m0eay0.html
6,6,CyC,MB,LGA1200-10,LGA1200,-,MB GIGABYTE H410M S2H V2 DDR4 LGA 1200,"
					0
				","$90,00 - S/340,20 ",https://cyccomputer.pe/socket-lga-1200-10th/19928-mb-gigabyte-h410m-s2h-v2-ddr4-lga-1200-.html
7,7,CyC,MB,LGA1200-10,LGA1200,-,MB MSI B460M PRO-VDH DDR4 LGA 1200 (PN:911-7C83-041),"
					0
				","$107,00 - S/404,46 ",https://cyccomputer.pe/socket-lga-1200-10th/19817-mb-msi-b460m-pro-vdh-ddr4-lga-1200-pn911-7c83-041.html
8,8,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS TUF GAMING B460M-PLUS (WI-FI) DDR4 LGA 1200 (PN:90MB1440-M0EAY0),"
					0
				","$153,00 - S/578,34 ",https://cyccomputer.pe/socket-lga-1200-10th/18708-mb-asus-tuf-gaming-b460m-plus-wi-fi-ddr4-lga-1200-pn90mb1440-m0eay0.html
9,9,CyC,MB,LGA1200-10,LGA1200,-,MB ASUS ROG STRIX B460-H GAMING DDR4 LGA 1200 (PN:90MB13Q0-M0AEY0),"
					0
				","$173,00 - S/653,94 ",https://cyccomputer.pe/socket-lga-1200-10th/17400-mb-asus-rog-strix-b460-h-gaming-ddr4-lga-1200-pn90mb13q0-m0aey0.html
10,10,CyC,MB,LGA1200-10,LGA1200,-,MB GALAX B460M DDR4 LGA 1200,"
					0
				","$91,00 - S/343,98 ",https://cyccomputer.pe/socket-lga-1200-10th/17147-mb-galax-b460m-ddr4-lga-1200.html
11,11,CyC,MB,LGA1200-10,LGA1200,-,MB ASROCK H410M/AC DDR4 LGA 1200 (PN:90-MXBDT0-A0UAYZ),"
					0
				","$93,50 - S/353,43 ",https://cyccomputer.pe/socket-lga-1200-10th/16607-mb-asrock-h410mac-ddr4-lga-1200-pn90-mxbdt0-a0uayz.html
12,12,CyC,MB,LGA1200-10,LGA1200,-,MB ASROCK H410M-HDV/M.2 DDR4 LGA 1200 (PN:90-MXBD70-A0UAYZ),"
					0
				","$84,00 - S/317,52 ",https://cyccomputer.pe/socket-lga-1200-10th/16606-mb-asrock-h410m-hdvm2-ddr4-lga-1200-pn90-mxbd70-a0uayz.html
13,13,CyC,MB,LGA1200-10,LGA1200,-,MB MSI B460M PRO DDR4 LGA 1120,"
					0
				","$110,00 - S/415,80 ",https://cyccomputer.pe/socket-lga-1200-10th/16297-mb-msi-b460m-pro-ddr4-lga-1120.html
14,14,CyC,MB,LGA1200-10,LGA1200,-,MB MSI MAG B460 TOMAHAWK RGB DDR4 LGA 1200,"
					0
				","$175,00 - S/661,50 ",https://cyccomputer.pe/socket-lga-1200-10th/15940-mb-msi-mag-b460-tomahawk-rgb-ddr4-lga-1200.html
