,Unnamed: 0,Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
0,0,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 STEEL LEGEND, LGA 1200", 14 ,"(S/ 900,14)",https://www.sercoplus.com/socket-1200-/12335-mainboard-asrock-z590-steel-legend-lga.html
1,1,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560 TOMAHAWK WIFI, LGA 1200", 11 ,"(S/ 744,48)",https://www.sercoplus.com/socket-1200-/12610-mainboard-msi-mag-b560-tomahawk-wifi-lg.html
2,2,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 VISION G, LGA 1200", 9 ,"(S/ 1.042,27)",https://www.sercoplus.com/socket-1200-/13471-mainboard-gigabyte-z590-vision-g-lga-12.html
3,3,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK H570M PRO 4, LGA 1200", >20 ,"(S/ 503,84)",https://www.sercoplus.com/socket-1200-/12337-mainboard-asrock-h570-pro-4-lga-1200.html
4,4,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560M BAZOOKA, LGA 1200", 0 ,"(S/ 579,04)",https://www.sercoplus.com/socket-1200-/12613-mainboard-msi-mag-b560m-bazooka.html
5,5,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD PRO H410M-B, LGA 1200", 0 ,"(S/ 273,35)",https://www.sercoplus.com/socket-1200-/13786-mainboard-pro-h410m-b-lga-1200.html
6,6,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME Z590-A, LGA 1200", >20 ,"(S/ 1.008,43)",https://www.sercoplus.com/socket-1200-/12345-mainboard-asus-prime-z590-a-lga-1200.html
7,7,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590M PHANTOM GAMING 4, LGA 1200", 3 ,"(S/ 622,66)",https://www.sercoplus.com/socket-1200-/12620-mainboard-asrock-z590m-phantom-gaming-4.html
8,8,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI PRO B660M-G DDR4, LGA 1700", 14 ,"(S/ 529,41)",https://www.sercoplus.com/socket-1200-/13788-mainboard-msi-pro-b660m-g-ddr4-lga-1700.html
9,9,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 EXTREME, LGA 1200.", 5 ,"(S/ 940,75)",https://www.sercoplus.com/socket-1200-/12363-mainboard-asrock-z590-extreme-lga-1200.html
10,10,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 UD, LGA 1200", 2 ,"(S/ 724,18)",https://www.sercoplus.com/socket-1200-/12626-mainboard-gigabyte-z590-ud-lga-1200.html
11,11,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME Z590M-PLUS, LGA 1200", 1 ,"(S/ 649,73)",https://www.sercoplus.com/socket-1200-/12370-mainboard-asus-prime-z590m-plus-lga-120.html
12,12,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 PRO4, LGA 1200.", 1 ,"(S/ 697,10)",https://www.sercoplus.com/socket-1200-/12487-mainboard-asrock-z590-pro4-lga-1200.html
13,13,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE B560 AORUS PRO AX, WI-FI, LGA 1200", 12 ,"(S/ 932,48)",https://www.sercoplus.com/socket-1200-/12812-mainboard-gigabyte-b560-aorus-pro-ax-wi.html
14,14,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 EXTREME, WIFI, LGA 1200", 3 ,"(S/ 1.035,50)",https://www.sercoplus.com/mainboard-intel/12514-mainboard-asrock-z590-extreme4-wifi-lg.html
15,15,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 AORUS ELITE, LGA 1200", 1 ,"(S/ 1.011,82)",https://www.sercoplus.com/socket-1200-/12883-mainboard-gigabyte-z590-aorus-elite-lga.html
16,16,Sercoplus,MB,LGA1200,LGA1200,-,MAINBOARD ASROCK Z490 VELOCITA LGA 1200, 1 ,"(S/ 1.195,68)",https://www.sercoplus.com/socket-1200-/11185-mainboard-asrock-z490-velocita-lga-1200.html
17,17,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS ROG STRIX B560-A GAMING WIFI, LGA 1200", 11 ,"(S/ 782,08)",https://www.sercoplus.com/socket-1200-/12551-mainboard-asus-rog-strix-b560-a-gaming-w.html
18,18,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MPG Z590 GAMING PLUS, LGA 1200", 1 ,"(S/ 1.109,95)",https://www.sercoplus.com/socket-1200-/12913-mainboard-msi-mpg-z590-gaming-plus-lga.html
19,19,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS ROG STRIX Z590-E GAMING WIFI, LGA 1200", 6 ,"(S/ 1.278,40)",https://www.sercoplus.com/socket-1200-/12202-mainboard-asusrog-strix-z590-e-gaming-wi.html
20,20,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE H410M S2H V2, LGA 1200", >20 ,"(S/ 315,84)",https://www.sercoplus.com/socket-1200-/12592-mainboard-gigabyte-h410m-s2h-v2-lga-120.html
21,21,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI B560M-A PRO, LGA 1200", 11 ,"(S/ 332,01)",https://www.sercoplus.com/socket-1200-/13026-mainboard-msi-b560m-a-pro-lga-1200.html
22,22,Sercoplus,MB,LGA1200,LGA1200,-,MAINBOARD ASUS PRIME Z590-P LGA 1200, 1 ,"(S/ 670,03)",https://www.sercoplus.com/socket-1200-/12276-mainboard-asus-prime-z590-p-lga-1200.html
23,23,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 GAMING X, LGA 1200", 1 ,"(S/ 957,67)",https://www.sercoplus.com/socket-1200-/12594-mainboard-gigabyte-z590-gaming-x-lga-12.html
24,24,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 AORUS ELITE, LGA 1200", 1 ,"(S/ 1.011,82)",https://www.sercoplus.com/socket-1200-/12883-mainboard-gigabyte-z590-aorus-elite-lga.html
25,25,Sercoplus,MB,LGA1200,LGA1200,-,MAINBOARD ASROCK Z490 VELOCITA LGA 1200, 1 ,"(S/ 1.195,68)",https://www.sercoplus.com/socket-1200-/11185-mainboard-asrock-z490-velocita-lga-1200.html
26,26,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS ROG STRIX B560-A GAMING WIFI, LGA 1200", 11 ,"(S/ 782,08)",https://www.sercoplus.com/socket-1200-/12551-mainboard-asus-rog-strix-b560-a-gaming-w.html
27,27,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MPG Z590 GAMING PLUS, LGA 1200", 1 ,"(S/ 1.109,95)",https://www.sercoplus.com/socket-1200-/12913-mainboard-msi-mpg-z590-gaming-plus-lga.html
28,28,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS ROG STRIX Z590-E GAMING WIFI, LGA 1200", 6 ,"(S/ 1.278,40)",https://www.sercoplus.com/socket-1200-/12202-mainboard-asusrog-strix-z590-e-gaming-wi.html
29,29,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE H410M S2H V2, LGA 1200", >20 ,"(S/ 315,84)",https://www.sercoplus.com/socket-1200-/12592-mainboard-gigabyte-h410m-s2h-v2-lga-120.html
30,30,Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI B560M-A PRO, LGA 1200", 11 ,"(S/ 332,01)",https://www.sercoplus.com/socket-1200-/13026-mainboard-msi-b560m-a-pro-lga-1200.html
31,31,Sercoplus,MB,LGA1200,LGA1200,-,MAINBOARD ASUS PRIME Z590-P LGA 1200, 1 ,"(S/ 670,03)",https://www.sercoplus.com/socket-1200-/12276-mainboard-asus-prime-z590-p-lga-1200.html
