Tienda,Categoría,Socket,Generación,Capacidad,Título,Stock,Precio,URL
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK H570M PRO 4, LGA 1200",20,509.2,https://www.sercoplus.com/socket-1200-/12337-mainboard-asrock-h570-pro-4-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME Z590-A, LGA 1200",20,1019.16,https://www.sercoplus.com/socket-1200-/12345-mainboard-asus-prime-z590-a-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI PRO B660M-G DDR4, LGA 1700",11,535.04,https://www.sercoplus.com/socket-1200-/13788-mainboard-msi-pro-b660m-g-ddr4-lga-1700.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 EXTREME, LGA 1200.",5,950.76,https://www.sercoplus.com/socket-1200-/12363-mainboard-asrock-z590-extreme-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE H510M H, LGA 1200",20,311.6,https://www.sercoplus.com/socket-1200-/12700-mainboard-gigabyte-h510m-h-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME B560M-A, LGA 1200",18,421.8,https://www.sercoplus.com/socket-1200-/12420-mainboard-asus-prime-b560m-a-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE B560M GAMING HD, LGA 1200",5,410.4,https://www.sercoplus.com/socket-1200-/12740-mainboard-gigabyte-b560m-gaming-hd-lga.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS ROG MAXIMUS XIII HERO, WIFI, LGA 1200.",5,2067.2,https://www.sercoplus.com/socket-1200-/13115-mainboard-asus-rog-maximus-xiii-hero-wi.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 VELOCITA, WI-FI, LGA 1200.",15,1224.36,https://www.sercoplus.com/socket-1200-/12334-mainboard-asrock-z590-velocita-wi-fi-l.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560M MORTAR WIFI, LGA 1200",9,706.8,https://www.sercoplus.com/socket-1200-/12608-mainboard-msi-mag-b560m-mortar-wifi.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 STEEL LEGEND, LGA 1200",12,909.72,https://www.sercoplus.com/socket-1200-/12335-mainboard-asrock-z590-steel-legend-lga.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560 TOMAHAWK WIFI, LGA 1200",11,752.4,https://www.sercoplus.com/socket-1200-/12610-mainboard-msi-mag-b560-tomahawk-wifi-lg.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 VISION G, LGA 1200",9,1053.36,https://www.sercoplus.com/socket-1200-/13471-mainboard-gigabyte-z590-vision-g-lga-12.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK H570M PRO 4, LGA 1200",20,509.2,https://www.sercoplus.com/socket-1200-/12337-mainboard-asrock-h570-pro-4-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 STEEL LEGEND, LGA 1200",12,909.72,https://www.sercoplus.com/socket-1200-/12335-mainboard-asrock-z590-steel-legend-lga.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI MAG B560 TOMAHAWK WIFI, LGA 1200",11,752.4,https://www.sercoplus.com/socket-1200-/12610-mainboard-msi-mag-b560-tomahawk-wifi-lg.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD GIGABYTE Z590 VISION G, LGA 1200",9,1053.36,https://www.sercoplus.com/socket-1200-/13471-mainboard-gigabyte-z590-vision-g-lga-12.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK H570M PRO 4, LGA 1200",20,509.2,https://www.sercoplus.com/socket-1200-/12337-mainboard-asrock-h570-pro-4-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME Z590-A, LGA 1200",20,1019.16,https://www.sercoplus.com/socket-1200-/12345-mainboard-asus-prime-z590-a-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI PRO B660M-G DDR4, LGA 1700",11,535.04,https://www.sercoplus.com/socket-1200-/13788-mainboard-msi-pro-b660m-g-ddr4-lga-1700.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASROCK Z590 EXTREME, LGA 1200.",5,950.76,https://www.sercoplus.com/socket-1200-/12363-mainboard-asrock-z590-extreme-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD ASUS PRIME Z590-A, LGA 1200",20,1019.16,https://www.sercoplus.com/socket-1200-/12345-mainboard-asus-prime-z590-a-lga-1200.html
Sercoplus,MB,LGA1200,LGA1200,-,"MAINBOARD MSI PRO B660M-G DDR4, LGA 1700",11,535.04,https://www.sercoplus.com/socket-1200-/13788-mainboard-msi-pro-b660m-g-ddr4-lga-1700.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE Z690 AORUS ELITE AX, DDR5, WIFI",8,1542.8,https://www.sercoplus.com/socket-1700/13488-mainboard-gigabyte-z690-aorus-elite-ax.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD ASUS PRIME PRIME Z690-P WIFI, LGA 1700",7,1086.8,https://www.sercoplus.com/socket-1700/13547-mainboard-asus-prime-prime-z690-p-wifi.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE B660M DS3H DDR4, LGA 1700",5,668.8,https://www.sercoplus.com/socket-1700/13550-mainboard-gigabyte-b660m-ds3h-ddr4-lga.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE H610M H DDR4, LGA 1700",20,419.14,https://www.sercoplus.com/socket-1700/13551-mainboard-gigabyte-h610m-h-ddr4-lga-170.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD MSI MAG B660M BAZOOKA DDR4, LGA 1700",5,722.0,https://www.sercoplus.com/socket-1700/13685-mainboard-msi-mag-b660m-bazooka-ddr4-lg.html
Sercoplus,MB,LGA1700-12,LGA1700,-,"MAINBOARD GIGABYTE B660M DS3H AX DDR4, WIFI, LGA 1700",19,699.2,https://www.sercoplus.com/socket-1700/13726-mainboard-gigabyte-b660m-ds3h-ax-ddr4-w.html
